city,crop,season,soil_type,soil_ph,organic_carbon_pct,sand_pct,silt_pct,clay_pct,irrigation,fertilizer_used,fertilizer_type,N_req_kg_ha,P2O5_req_kg_ha,K2O_req_kg_ha,alt_crops,Type
Uttara Kannada (Karwar),Banana,Kharif,Red loam,6.1,0.92,53,30,17,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,213,105,193,Jackfruit; Sapota (Chikoo); Pomegranate; Potato,Fruit
Kodagu (Madikeri),Capsicum (Bell Pepper),Kharif,Sandy loam,6.1,0.96,58,21,21,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,157,74,70,Tomato; Brinjal (Eggplant); Cauliflower; Cabbage,Vegetable
Kalaburagi,Sapota (Chikoo),Kharif,Black clayey,8.2,1.05,21,25,54,Rainfed,15-15-15 + Urea,Inorganic,244,96,197,Banana; Jackfruit; Pomegranate; Sugarcane,Fruit
Koppal,Coriander,Kharif,Red sandy loam,6.8,0.99,68,21,11,Irrigated,Vermicompost + Neem cake,Organic,56,28,29,Ragi (Finger Millet); Bottle Gourd; Pearl Millet (Bajra),Vegetable
Chikkamagaluru,Ridge Gourd,Kharif,Red sandy loam,6.8,0.56,47,36,17,Irrigated,FYM + Urea (split) + MOP,Mixed,57,38,44,Bottle Gourd; Pumpkin; Spinach,Vegetable
Kolar,Pumpkin,Rabi,Red loam,6.1,0.58,50,37,13,Irrigated,FYM (Farmyard Manure),Organic,61,38,40,Bottle Gourd; Ridge Gourd; Spinach,Vegetable
Kalaburagi,Grapes,Kharif,Lateritic,6.3,0.97,53,36,11,Irrigated,Vermicompost + Neem cake,Organic,404,200,414,Mango; Pomegranate; Sapota (Chikoo),Fruit
Mandya,Cauliflower,Summer,Lateritic,6.9,0.6,43,39,18,Irrigated,FYM + Urea (split) + MOP,Mixed,118,56,58,Cabbage; Chilli; Brinjal (Eggplant); Rice (Paddy),Vegetable
Gadag,Cabbage,Kharif,Alluvial (coastal),7.2,0.71,42,38,20,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,122,64,57,Cauliflower; Chilli; Brinjal (Eggplant); Rice (Paddy),Vegetable
Haveri,Papaya,Kharif,Red loam,5.7,0.94,69,21,10,Irrigated,15-15-15 + Urea,Inorganic,160,51,150,Amla (Indian Gooseberry); Onion; Potato,Fruit
Ramanagara,Carrot,Summer,Red loam,6.8,1.19,59,30,11,Rainfed,Vermicompost + DAP (basal) + Urea (topdress),Mixed,74,62,59,Cucumber; Beetroot; Muskmelon; Watermelon,Vegetable
Dakshina Kannada (Puttur),Jackfruit,Summer,Red loam,5.9,0.66,56,27,17,Irrigated,FYM (Farmyard Manure),Organic,190,98,199,Banana; Sapota (Chikoo); Pomegranate,Fruit
Mysuru,Pomegranate,Rabi,Alluvial (coastal),7.3,0.82,38,39,23,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,229,152,220,Sapota (Chikoo); Banana; Jackfruit; Sugarcane,Fruit
Davanagere,Grapes,Rabi,Sandy loam,6.5,0.83,57,23,20,Irrigated,FYM (Farmyard Manure),Organic,386,193,439,Mango; Pomegranate; Sapota (Chikoo); Banana,Fruit
Gadag,Muskmelon,Summer,Lateritic,6.1,0.73,49,27,24,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,109,47,45,Cotton; Watermelon; Sorghum (Jowar); Beetroot,Fruit
Belagavi,Guava,Kharif,Red sandy loam,5.7,0.55,67,20,13,Rainfed,Vermicompost + Neem cake,Organic,139,95,95,Tomato (Hybrid High-Demand); Capsicum (Bell Pepper); Tomato; Potato,Fruit
Hubballi-Dharwad,Banana,Kharif,Red loam,6.9,1.02,66,11,23,Irrigated,Vermicompost + Neem cake,Organic,196,98,182,Jackfruit; Sapota (Chikoo); Pomegranate,Fruit
Chikkaballapura,Guava,Rabi,Red loam,5.5,0.77,61,16,23,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,156,98,103,Tomato (Hybrid High-Demand); Capsicum (Bell Pepper); Tomato,Fruit
Raichur,Grapes,Rabi,Lateritic,5.5,0.58,49,38,13,Irrigated,FYM + Urea (split) + MOP,Mixed,372,212,364,Mango; Pomegranate; Sapota (Chikoo); Banana,Fruit
Mysuru,Mango,Rabi,Alluvial (coastal),6.4,0.69,37,42,21,Rainfed,15-15-15 + Urea,Inorganic,234,46,261,Sapota (Chikoo); Jackfruit; Banana; Pomegranate,Fruit
Davanagere,Amla (Indian Gooseberry),Kharif,Black clayey,8.4,0.56,12,31,57,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,153,50,148,Papaya; Onion; Potato; Guava,Fruit
Mandya,Cabbage,Kharif,Alluvial (coastal),7.5,0.99,49,41,10,Irrigated,FYM + Urea (split) + MOP,Mixed,114,58,59,Cauliflower; Chilli; Brinjal (Eggplant); Rice (Paddy),Vegetable
Mysuru,Pumpkin,Kharif,Black clayey,7.9,0.55,22,26,52,Irrigated,12-32-16 + Urea + MOP,Inorganic,59,43,42,Bottle Gourd; Ridge Gourd; Spinach; Bitter Gourd,Vegetable
Haveri,Cucumber,Summer,Alluvial (coastal),7.0,1.03,39,38,23,Irrigated,15-15-15 + Urea,Inorganic,72,65,66,Carrot; Beetroot; Watermelon,Vegetable
Koppal,Pumpkin,Summer,Red sandy loam,6.4,0.96,66,20,14,Irrigated,FYM (Farmyard Manure),Organic,55,42,42,Bottle Gourd; Ridge Gourd; Spinach,Vegetable
Udupi,Papaya,Kharif,Lateritic,6.9,1.03,35,53,12,Irrigated,12-32-16 + Urea + MOP,Inorganic,141,54,163,Amla (Indian Gooseberry); Onion; Potato,Fruit
Shivamogga,Amla (Indian Gooseberry),Rabi,Red loam,5.7,0.87,60,23,17,Irrigated,FYM + Urea (split) + MOP,Mixed,159,52,157,Papaya; Onion; Potato; Guava,Fruit
Bengaluru,Carrot,Summer,Red sandy loam,6.6,0.65,55,31,14,Irrigated,12-32-16 + Urea + MOP,Inorganic,73,63,63,Cucumber; Beetroot; Muskmelon,Vegetable
Mandya,Muskmelon,Kharif,Sandy loam,7.1,0.47,50,27,23,Irrigated,12-32-16 + Urea + MOP,Inorganic,96,54,46,Cotton; Watermelon; Sorghum (Jowar); Beetroot,Fruit
Bengaluru,Ridge Gourd,Kharif,Black clayey,8.4,0.66,24,35,41,Irrigated,Vermicompost + Neem cake,Organic,61,38,38,Bottle Gourd; Pumpkin; Spinach,Vegetable
Vijayapura,Sapota (Chikoo),Kharif,Lateritic,6.6,0.47,44,35,21,Irrigated,Vermicompost + Neem cake,Organic,245,99,215,Banana; Jackfruit; Pomegranate,Fruit
Gadag,Green Peas,Summer,Sandy loam,5.7,0.8,60,27,13,Rainfed,Vermicompost + Neem cake,Organic,24,58,33,French Beans; Soybean; Chickpea (Bengal gram),Vegetable
Kalaburagi,Carrot,Kharif,Red sandy loam,6.0,0.76,67,17,16,Irrigated,FYM (Farmyard Manure),Organic,73,62,57,Cucumber; Beetroot; Muskmelon; Watermelon,Vegetable
Chikkaballapura,Amla (Indian Gooseberry),Summer,Red sandy loam,6.2,0.98,53,27,20,Irrigated,12-32-16 + Urea + MOP,Inorganic,141,49,161,Papaya; Onion; Potato,Fruit
Ballari,Bitter Gourd,Kharif,Sandy loam,5.9,1.11,55,29,16,Rainfed,Vermicompost + DAP (basal) + Urea (topdress),Mixed,64,50,53,Sunflower; Pumpkin; Ridge Gourd,Vegetable
Mysuru,Guava,Rabi,Lateritic,5.8,1.07,52,34,14,Irrigated,FYM + Urea (split) + MOP,Mixed,140,106,90,Tomato (Hybrid High-Demand); Capsicum (Bell Pepper); Tomato; Potato,Fruit
Kodagu (Madikeri),Ridge Gourd,Summer,Lateritic,5.8,0.59,53,32,15,Rainfed,12-32-16 + Urea + MOP,Inorganic,56,38,43,Bottle Gourd; Pumpkin; Spinach,Vegetable
Koppal,Amla (Indian Gooseberry),Summer,Alluvial (coastal),6.9,0.7,49,30,21,Irrigated,FYM (Farmyard Manure),Organic,149,49,145,Papaya; Onion; Potato; Guava,Fruit
Ballari,Jackfruit,Summer,Alluvial (coastal),7.7,0.68,39,41,20,Irrigated,12-32-16 + Urea + MOP,Inorganic,195,106,182,Banana; Sapota (Chikoo); Pomegranate; Potato,Fruit
Udupi,Capsicum (Bell Pepper),Rabi,Alluvial (coastal),6.6,0.53,42,43,15,Irrigated,FYM (Farmyard Manure),Organic,137,71,69,Tomato; Brinjal (Eggplant); Cauliflower; Cabbage,Vegetable
Bengaluru,Tomato (Hybrid High-Demand),Rabi,Red sandy loam,6.2,0.74,46,40,14,Irrigated,12-32-16 + Urea + MOP,Inorganic,166,96,91,Guava; Potato; Tomato,Vegetable
Ballari,Beetroot,Summer,Red loam,6.3,0.53,58,32,10,Irrigated,Vermicompost + Neem cake,Organic,90,62,60,Cucumber; Carrot; Watermelon,Vegetable
Ramanagara,Cabbage,Kharif,Red loam,5.8,0.98,59,23,18,Irrigated,12-32-16 + Urea + MOP,Inorganic,116,54,57,Cauliflower; Chilli; Brinjal (Eggplant); Rice (Paddy),Vegetable
Mangaluru,Capsicum (Bell Pepper),Kharif,Red sandy loam,7.1,0.52,68,16,16,Irrigated,15-15-15 + Urea,Inorganic,163,68,76,Tomato; Brinjal (Eggplant); Cauliflower,Vegetable
Mangaluru,Guava,Kharif,Alluvial (coastal),7.1,0.9,51,30,19,Rainfed,12-32-16 + Urea + MOP,Inorganic,149,92,103,Tomato (Hybrid High-Demand); Capsicum (Bell Pepper); Tomato; Potato,Fruit
Bagalkote,Jackfruit,Kharif,Sandy loam,6.1,1.03,65,12,23,Irrigated,FYM + Urea (split) + MOP,Mixed,208,107,192,Banana; Sapota (Chikoo); Pomegranate,Fruit
Belagavi,Carrot,Rabi,Alluvial (coastal),7.4,0.82,40,44,16,Irrigated,FYM + Urea (split) + MOP,Mixed,86,59,61,Cucumber; Beetroot; Muskmelon,Vegetable
Ballari,Jackfruit,Kharif,Lateritic,6.3,0.48,53,27,20,Irrigated,FYM + Urea (split) + MOP,Mixed,206,93,201,Banana; Sapota (Chikoo); Pomegranate,Fruit
Bidar,Green Peas,Rabi,Red sandy loam,6.2,0.89,66,20,14,Irrigated,15-15-15 + Urea,Inorganic,27,64,31,French Beans; Soybean; Chickpea (Bengal gram),Vegetable
Chikkamagaluru,Amla (Indian Gooseberry),Rabi,Lateritic,5.7,0.82,48,42,10,Irrigated,15-15-15 + Urea,Inorganic,155,54,160,Papaya; Onion; Potato; Guava,Fruit
Mandya,Bitter Gourd,Kharif,Red sandy loam,5.9,1.2,59,20,21,Rainfed,15-15-15 + Urea,Inorganic,58,47,52,Sunflower; Pumpkin; Ridge Gourd; Spinach,Vegetable
Gadag,French Beans,Rabi,Black clayey,7.3,1.18,22,35,43,Rainfed,FYM + Urea (split) + MOP,Mixed,29,59,32,Green Peas; Soybean; Chickpea (Bengal gram); Groundnut,Vegetable
Kalaburagi,Papaya,Kharif,Black clayey,7.5,0.86,10,45,45,Irrigated,FYM (Farmyard Manure),Organic,144,47,154,Amla (Indian Gooseberry); Onion; Potato; Guava,Fruit
Davanagere,Sapota (Chikoo),Kharif,Alluvial (coastal),7.2,0.47,38,47,15,Irrigated,FYM + Urea (split) + MOP,Mixed,260,101,193,Banana; Jackfruit; Pomegranate; Sugarcane,Fruit
Mangaluru,Spinach,Kharif,Black clayey,7.8,0.83,19,29,52,Rainfed,15-15-15 + Urea,Inorganic,49,37,43,Ridge Gourd; Bottle Gourd; Pumpkin; Coriander,Vegetable
Davanagere,Pomegranate,Kharif,Lateritic,6.9,0.48,54,33,13,Irrigated,12-32-16 + Urea + MOP,Inorganic,256,151,197,Sapota (Chikoo); Banana; Jackfruit; Sugarcane,Fruit
Koppal,Banana,Rabi,Alluvial (coastal),7.3,0.83,50,32,18,Irrigated,FYM + Urea (split) + MOP,Mixed,185,100,208,Jackfruit; Sapota (Chikoo); Pomegranate; Potato,Fruit
